state,period_startdate,period_enddate,biden_airings,trump_airings,total_airings,total_cost
AZ,4/9/2020,9/27/2020,36166,29412,65578,40117970
AZ,9/5/2020,9/27/2020,12235,6390,18625,15483620
FL,4/9/2020,9/27/2020,75931,58425,134356,92122560
FL,9/5/2020,9/27/2020,37051,19331,56382,45699260
WI,4/9/2020,9/27/2020,51473,41684,93157,42716860
WI,9/5/2020,9/27/2020,17659,10267,27926,13557570
PA,4/9/2020,9/27/2020,65830,53535,119365,72218750
PA,9/5/2020,9/27/2020,23782,8757,32539,22936350
NC,4/9/2020,9/27/2020,36596,43781,80377,44597210
NC,9/5/2020,9/27/2020,15449,13518,28967,22173790
MI,4/9/2020,9/27/2020,52657,19777,72434,34808980
MI,9/5/2020,9/27/2020,20853,5466,26319,12308360
GA,4/9/2020,9/27/2020,124,27747,27871,13169890
GA,9/5/2020,9/27/2020,121,9631,9752,6110120
NV,4/9/2020,9/27/2020,8875,6198,15073,5855560
NV,9/5/2020,9/27/2020,4652,294,4946,1853880
MN,4/9/2020,9/27/2020,8804,7173,15977,8685100
MN,9/5/2020,9/27/2020,7620,4373,11993,6664630
SC,4/9/2020,9/27/2020,1889,4759,6648,4102960
SC,9/5/2020,9/27/2020,799,994,1793,1387710
AL,4/9/2020,9/27/2020,3273,3179,6452,2600640
AL,9/5/2020,9/27/2020,1120,849,1969,1274570
IA,4/9/2020,9/27/2020,868,8435,9303,5055000
IA,9/5/2020,9/27/2020,807,1288,2095,2554270
OH,4/9/2020,9/27/2020,4998,9073,14071,5111190
OH,9/5/2020,9/27/2020,2067,7,2074,386780
IN,4/9/2020,9/27/2020,2469,305,2774,346070
IN,9/5/2020,9/27/2020,1304,0,1304,195840
NE,4/9/2020,9/27/2020,909,1226,2135,946330
NE,9/5/2020,9/27/2020,908,821,1729,812340
ND,4/9/2020,9/27/2020,1089,594,1683,252980
ND,9/5/2020,9/27/2020,1089,548,1637,250140
NM,4/9/2020,9/27/2020,9,1017,1026,196230
NM,9/5/2020,9/27/2020,9,7,16,4150
ME,4/9/2020,9/27/2020,19,467,486,220950
ME,9/5/2020,9/27/2020,7,457,464,191280
TX,4/9/2020,9/27/2020,451,596,1047,660680
TX,9/5/2020,9/27/2020,280,10,290,47160
CA,4/9/2020,9/27/2020,114,702,816,340180
CA,9/5/2020,9/27/2020,114,74,188,84580
IL,4/9/2020,9/27/2020,12,332,344,108170
IL,9/5/2020,9/27/2020,9,0,9,460
TN,4/9/2020,9/27/2020,5,587,592,88550
TN,9/5/2020,9/27/2020,5,21,26,2040
DC,4/9/2020,9/27/2020,205,5,210,792320
DC,9/5/2020,9/27/2020,0,1,1,15370
MO,4/9/2020,9/27/2020,6,401,407,89330
MO,9/5/2020,9/27/2020,6,0,6,290
UT,4/9/2020,9/27/2020,34,170,204,28110
UT,9/5/2020,9/27/2020,34,10,44,7250
WA,4/9/2020,9/27/2020,3,330,333,68710
WA,9/5/2020,9/27/2020,3,0,3,430
CO,4/9/2020,9/27/2020,128,61,189,32510
CO,9/5/2020,9/27/2020,128,11,139,24340
OK,4/9/2020,9/27/2020,75,159,234,61010
OK,9/5/2020,9/27/2020,14,2,16,910
SD,4/9/2020,9/27/2020,4,201,205,17940
SD,9/5/2020,9/27/2020,4,25,29,1840
OR,4/9/2020,9/27/2020,11,181,192,26920
OR,9/5/2020,9/27/2020,11,3,14,1070
NY,4/9/2020,9/27/2020,7,179,186,18450
NY,9/5/2020,9/27/2020,7,0,7,450
MS,4/9/2020,9/27/2020,2,150,152,7740
MS,9/5/2020,9/27/2020,2,8,10,420
NH,4/9/2020,9/27/2020,94,0,94,157900
NH,9/5/2020,9/27/2020,73,0,73,32110
KY,4/9/2020,9/27/2020,7,226,233,38470
KY,9/5/2020,9/27/2020,7,0,7,310
WY,4/9/2020,9/27/2020,3,95,98,4090
WY,9/5/2020,9/27/2020,3,9,12,580
ID,4/9/2020,9/27/2020,6,66,72,8770
ID,9/5/2020,9/27/2020,6,3,9,1350
MT,4/9/2020,9/27/2020,60,9,69,19320
MT,9/5/2020,9/27/2020,11,0,11,1260
VT,4/9/2020,9/27/2020,3,48,51,2480
VT,9/5/2020,9/27/2020,3,0,3,480
MA,4/9/2020,9/27/2020,40,3,43,29670
MA,9/5/2020,9/27/2020,40,2,42,29190
AK,4/9/2020,9/27/2020,61,0,61,18330
AK,9/5/2020,9/27/2020,13,0,13,3210
KS,4/9/2020,9/27/2020,0,34,34,3450
KS,9/5/2020,9/27/2020,0,0,0,0
AR,4/9/2020,9/27/2020,1,30,31,2130
AR,9/5/2020,9/27/2020,1,0,1,80
WV,4/9/2020,9/27/2020,34,9,43,41060
WV,9/5/2020,9/27/2020,5,0,5,300
CT,4/9/2020,9/27/2020,7,1,8,2440
CT,9/5/2020,9/27/2020,6,0,6,360
HI,4/9/2020,9/27/2020,8,0,8,1370
HI,9/5/2020,9/27/2020,8,0,8,1370
LA,4/9/2020,9/27/2020,8,0,8,590
LA,9/5/2020,9/27/2020,7,0,7,250
VA,4/9/2020,9/27/2020,16,0,16,1960
VA,9/5/2020,9/27/2020,16,0,16,1960
MD,4/9/2020,9/27/2020,2,0,2,640
MD,9/5/2020,9/27/2020,2,0,2,640
